type,label,value,task
person,openai-api/local/mistralai/mixtral-8x7b-instruct,-5.724829022158674,tom_12dim_mcq
person,openai-api/local/mistralai/mistral-7b-instruct-v0.3,-3.1444577767722293,tom_12dim_mcq
person,openai-api/local/mistralai/mistral-7b-instruct-v0.2,0.5164110582070085,tom_12dim_mcq
person,openai-api/local/mistralai/mistral-7b-instruct,1.0959825322341388,tom_12dim_mcq
person,openai-api/local/qwen/qwen2.5-72b-instruct,-5.724829022158674,tom_12dim_mcq
person,openai-api/local/qwen/qwen2.5-7b-instruct,3.846910307969417,tom_12dim_mcq
person,openai-api/local/qwen/qwen2-72b-instruct,5.706564394564358,tom_12dim_mcq
person,openai-api/local/qwen/qwen2-7b-instruct,3.7355729910832727,tom_12dim_mcq
person,openai-api/local/qwen/qwen-1.5-72b-chat,3.0962467795111874,tom_12dim_mcq
person,openai-api/local/qwen/qwen1.5-7b-chat,1.4883164522142336,tom_12dim_mcq
person,openai-api/local/meta-llama/llama-3.1-8b-instruct,3.2596575898632314,tom_12dim_mcq
person,openai-api/local/meta-llama/llama-3-70b-instruct,5.614008340383971,tom_12dim_mcq
person,openai-api/local/meta-llama/llama-3-8b-instruct,3.1764412295111044,tom_12dim_mcq
