model,family,tier,task,created,log_file,item_id,correct,tom_dimension,tom_construct,validated_age_band,age_lo,age_hi,age_mid,dim_rank,literature_basis,date_years,release_date,params_b,log_params
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_10,1,Emotion Recognition,Emotion recognition,6-8 yrs,6.0,8.0,7.0,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_11,1,Emotion Recognition,Emotion recognition,4-6 yrs,4.0,6.0,5.0,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,ER_12,1,Emotion Recognition,Emotion recognition,6-8 yrs,6.0,8.0,7.0,3,Basic emotion recognition (Ekman); complex/social emotion recognition (Widen & Russell 2008),2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,FOFB_01,1,First-Order False Belief,Belief reasoning,4-5 yrs,4.0,5.0,4.5,4,"Wimmer & Perner (1983) Sally-Anne task; Perner, Leekam & Wimmer (1987) Smarties task",2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,FOFB_02,1,First-Order False Belief,Belief reasoning,4-5 yrs,4.0,5.0,4.5,4,"Wimmer & Perner (1983) Sally-Anne task; Perner, Leekam & Wimmer (1987) Smarties task",2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,FOFB_03,1,First-Order False Belief,Belief reasoning,4-5 yrs,4.0,5.0,4.5,4,"Wimmer & Perner (1983) Sally-Anne task; Perner, Leekam & Wimmer (1987) Smarties task",2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,FOFB_04,1,First-Order False Belief,Belief reasoning,4-5 yrs,4.0,5.0,4.5,4,"Wimmer & Perner (1983) Sally-Anne task; Perner, Leekam & Wimmer (1987) Smarties task",2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,FOFB_05,1,First-Order False Belief,Belief reasoning,4-5 yrs,4.0,5.0,4.5,4,"Wimmer & Perner (1983) Sally-Anne task; Perner, Leekam & Wimmer (1987) Smarties task",2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,FOFB_06,1,First-Order False Belief,Belief reasoning,4-5 yrs,4.0,5.0,4.5,4,"Wimmer & Perner (1983) Sally-Anne task; Perner, Leekam & Wimmer (1987) Smarties task",2.521560574948665,2026-07-10,175,2.2430380486862944
anthropic/claude-opus-4-8,Claude,Claude Opus,tom_12dim_mcq,2026-07-25T22:41:29+00:00,file:///Users/Naiti/Documents/Documents_NBMacBookPro/2026/DevToM/devtom-openrouter/logs/2026-07-25T22-41-29-00-00_tom-12dim-mcq_U2WzaumuuYQdQioSbjPjCA.eval,FOFB_07,1,First-Order False Belief,Belief reasoning,5-6 yrs,5.0,6.0,5.5,4,"Wimmer & Perner (1983) Sally-Anne task; Perner, Leekam & Wimmer (1987) Smarties task",2.521560574948665,2026-07-10,175,2.2430380486862944
