model,tom_dimension,n,n_correct,accuracy
openai-api/local/qwen/qwen2.5-72b-instruct,Irony,10,10,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Knowledge Access / Ignorance,10,10,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Sarcasm,10,10,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,Second-Order False Belief,10,10,1.0
openai-api/local/qwen/qwen2.5-72b-instruct,White Lies / Prosocial Deception,10,10,1.0
openai-api/local/qwen/qwen2.5-7b-instruct,Diverse Beliefs,10,10,1.0
openai-api/local/qwen/qwen2.5-7b-instruct,Diverse Desires,10,8,0.8
openai-api/local/qwen/qwen2.5-7b-instruct,Emotion Recognition,12,12,1.0
openai-api/local/qwen/qwen2.5-7b-instruct,Faux Pas Detection,10,10,1.0
openai-api/local/qwen/qwen2.5-7b-instruct,First-Order False Belief,12,11,0.9166666666666666
openai-api/local/qwen/qwen2.5-7b-instruct,Hidden Emotion (Appearance vs. Reality),10,6,0.6
openai-api/local/qwen/qwen2.5-7b-instruct,Intention vs. Accident,10,7,0.7
openai-api/local/qwen/qwen2.5-7b-instruct,Irony,10,7,0.7
openai-api/local/qwen/qwen2.5-7b-instruct,Knowledge Access / Ignorance,10,3,0.3
openai-api/local/qwen/qwen2.5-7b-instruct,Sarcasm,10,2,0.2
openai-api/local/qwen/qwen2.5-7b-instruct,Second-Order False Belief,10,10,1.0
openai-api/local/qwen/qwen2.5-7b-instruct,White Lies / Prosocial Deception,10,7,0.7
openai-api/local/qwen/qwen3-8b,Diverse Beliefs,10,10,1.0
openai-api/local/qwen/qwen3-8b,Diverse Desires,10,10,1.0
openai-api/local/qwen/qwen3-8b,Emotion Recognition,12,12,1.0
openai-api/local/qwen/qwen3-8b,Faux Pas Detection,10,10,1.0
openai-api/local/qwen/qwen3-8b,First-Order False Belief,12,11,0.9166666666666666
openai-api/local/qwen/qwen3-8b,Hidden Emotion (Appearance vs. Reality),10,10,1.0
openai-api/local/qwen/qwen3-8b,Intention vs. Accident,10,10,1.0
openai-api/local/qwen/qwen3-8b,Irony,10,10,1.0
openai-api/local/qwen/qwen3-8b,Knowledge Access / Ignorance,10,10,1.0
openai-api/local/qwen/qwen3-8b,Sarcasm,10,10,1.0
openai-api/local/qwen/qwen3-8b,Second-Order False Belief,10,10,1.0
openai-api/local/qwen/qwen3-8b,White Lies / Prosocial Deception,10,10,1.0
