model,tom_dimension,accuracy,dim_rank,age_mid,family,tier,date_years,params_b,log_params,mean_acc,coherence,coherence_resid
anthropic/claude-opus-4-6,Second-Order False Belief,0.9333333333333333,7,7.25,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-6,White Lies / Prosocial Deception,1,8,7.5,Claude,Claude Opus,2.1711156741957565,175,2.2430380486862944,0.9945652173913043,0.0030880230880230798,-0.010161055203062899
anthropic/claude-opus-4-7,Diverse Beliefs,1,1,4,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,Diverse Desires,1,0,3,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,Emotion Recognition,1,3,5.4,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,Faux Pas Detection,0.9333333333333333,10,10.5,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,First-Order False Belief,1,4,5,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,Hidden Emotion (Appearance vs. Reality),1,6,7.25,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,Intention vs. Accident,1,5,6,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,Irony,1,11,8,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,Knowledge Access / Ignorance,1,2,4,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,Sarcasm,1,9,8.5,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,Second-Order False Belief,1,7,7.25,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-7,White Lies / Prosocial Deception,1,8,7.5,Claude,Claude Opus,2.3874058863791925,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-8,Diverse Beliefs,1,1,4,Claude,Claude Opus,2.521560574948665,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-8,Diverse Desires,1,0,3,Claude,Claude Opus,2.521560574948665,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-8,Emotion Recognition,1,3,5.4,Claude,Claude Opus,2.521560574948665,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
anthropic/claude-opus-4-8,Faux Pas Detection,0.9333333333333333,10,10.5,Claude,Claude Opus,2.521560574948665,175,2.2430380486862944,0.9945652173913043,0.01169071669071668,-0.001558361600369293
