item_id,task,tom_dimension,tom_construct,dim_rank,age_mid,n,pass,passrate,passrate_adj,difficulty_logit,fitted_pooled
ER_04,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,3.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.3486363631409364
ER_05,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,4,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.3083530372210412
ER_06,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,7,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.066653081701669
ER_07,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,7,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.066653081701669
ER_08,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,7,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.066653081701669
ER_09,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,7.5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.026369755781774
ER_10,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,7,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.066653081701669
ER_11,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,5,28,26,0.9285714285714286,0.9137931034482759,-2.360854001118022,-2.2277863853812505
ER_12,tom_12dim_mcq,Emotion Recognition,Emotion recognition,3,7,28,27,0.9642857142857143,0.9482758620689655,-2.9087208965643616,-2.066653081701669
ER_FR_01,tom_12dim_freeresponse,Emotion Recognition,Emotion recognition,3,7,28,28,1,0.9827586206896551,-4.043051267834548,-2.066653081701669
ER_FR_02,tom_12dim_freeresponse,Emotion Recognition,Emotion recognition,3,7,28,28,1,0.9827586206896551,-4.043051267834548,-2.066653081701669
ER_FR_03,tom_12dim_freeresponse,Emotion Recognition,Emotion recognition,3,7.5,28,28,1,0.9827586206896551,-4.043051267834548,-2.026369755781774
