model,tom_dimension,n,n_correct,accuracy
openai-api/local/deepseek/deepseek-llm-7b-chat,Irony,15,2,0.13333333333333333
openai-api/local/deepseek/deepseek-llm-7b-chat,Knowledge Access / Ignorance,15,1,0.06666666666666667
openai-api/local/deepseek/deepseek-llm-7b-chat,Sarcasm,15,2,0.13333333333333333
openai-api/local/deepseek/deepseek-llm-7b-chat,Second-Order False Belief,15,3,0.2
openai-api/local/deepseek/deepseek-llm-7b-chat,White Lies / Prosocial Deception,15,3,0.2
openai-api/local/google/gemma-7b-it,Diverse Beliefs,15,14,0.9333333333333333
openai-api/local/google/gemma-7b-it,Diverse Desires,15,15,1.0
openai-api/local/google/gemma-7b-it,Emotion Recognition,17,15,0.8823529411764706
openai-api/local/google/gemma-7b-it,Faux Pas Detection,15,8,0.5333333333333333
openai-api/local/google/gemma-7b-it,First-Order False Belief,17,4,0.23529411764705882
openai-api/local/google/gemma-7b-it,Hidden Emotion (Appearance vs. Reality),15,10,0.6666666666666666
openai-api/local/google/gemma-7b-it,Intention vs. Accident,15,12,0.8
openai-api/local/google/gemma-7b-it,Irony,15,13,0.8666666666666667
openai-api/local/google/gemma-7b-it,Knowledge Access / Ignorance,15,13,0.8666666666666667
openai-api/local/google/gemma-7b-it,Sarcasm,15,9,0.6
openai-api/local/google/gemma-7b-it,Second-Order False Belief,15,3,0.2
openai-api/local/google/gemma-7b-it,White Lies / Prosocial Deception,15,11,0.7333333333333333
openai-api/local/meta-llama/llama-3-70b-instruct,Diverse Beliefs,15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Diverse Desires,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3-70b-instruct,Emotion Recognition,17,17,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Faux Pas Detection,15,13,0.8666666666666667
openai-api/local/meta-llama/llama-3-70b-instruct,First-Order False Belief,17,17,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Hidden Emotion (Appearance vs. Reality),15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Intention vs. Accident,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3-70b-instruct,Irony,15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Knowledge Access / Ignorance,15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Sarcasm,15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,Second-Order False Belief,15,15,1.0
openai-api/local/meta-llama/llama-3-70b-instruct,White Lies / Prosocial Deception,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3-8b-instruct,Diverse Beliefs,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3-8b-instruct,Diverse Desires,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3-8b-instruct,Emotion Recognition,17,17,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Faux Pas Detection,15,12,0.8
openai-api/local/meta-llama/llama-3-8b-instruct,First-Order False Belief,17,7,0.4117647058823529
openai-api/local/meta-llama/llama-3-8b-instruct,Hidden Emotion (Appearance vs. Reality),15,15,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Intention vs. Accident,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3-8b-instruct,Irony,15,15,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Knowledge Access / Ignorance,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3-8b-instruct,Sarcasm,15,15,1.0
openai-api/local/meta-llama/llama-3-8b-instruct,Second-Order False Belief,15,13,0.8666666666666667
openai-api/local/meta-llama/llama-3-8b-instruct,White Lies / Prosocial Deception,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.1-8b-instruct,Diverse Beliefs,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.1-8b-instruct,Diverse Desires,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.1-8b-instruct,Emotion Recognition,17,17,1.0
openai-api/local/meta-llama/llama-3.1-8b-instruct,Faux Pas Detection,15,11,0.7333333333333333
openai-api/local/meta-llama/llama-3.1-8b-instruct,First-Order False Belief,17,7,0.4117647058823529
openai-api/local/meta-llama/llama-3.1-8b-instruct,Hidden Emotion (Appearance vs. Reality),15,13,0.8666666666666667
openai-api/local/meta-llama/llama-3.1-8b-instruct,Intention vs. Accident,15,15,1.0
openai-api/local/meta-llama/llama-3.1-8b-instruct,Irony,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.1-8b-instruct,Knowledge Access / Ignorance,15,13,0.8666666666666667
openai-api/local/meta-llama/llama-3.1-8b-instruct,Sarcasm,15,12,0.8
openai-api/local/meta-llama/llama-3.1-8b-instruct,Second-Order False Belief,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.1-8b-instruct,White Lies / Prosocial Deception,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.3-70b-instruct,Diverse Beliefs,15,15,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Diverse Desires,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.3-70b-instruct,Emotion Recognition,17,17,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Faux Pas Detection,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.3-70b-instruct,First-Order False Belief,17,17,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Hidden Emotion (Appearance vs. Reality),15,15,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Intention vs. Accident,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.3-70b-instruct,Irony,15,15,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Knowledge Access / Ignorance,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.3-70b-instruct,Sarcasm,15,15,1.0
openai-api/local/meta-llama/llama-3.3-70b-instruct,Second-Order False Belief,15,14,0.9333333333333333
openai-api/local/meta-llama/llama-3.3-70b-instruct,White Lies / Prosocial Deception,15,14,0.9333333333333333
