model,task,theta,theta_se,family,tier,date_years,release_date,age_anchored_theta
openai-api/local/qwen/qwen2.5-7b-instruct,tom_12dim_freeresponse,-0.10012332950990781,0.3828375264682582,Qwen,Qwen small,0.7173169062286106,2024-09-19,6.965229434371413
openai-api/local/qwen/qwen2-72b-instruct,tom_12dim_freeresponse,1.25322379689326,0.5223063205701393,Qwen,Qwen large,0.42984257357973993,2024-06-06,7.317005692643063
openai-api/local/qwen/qwen2-7b-instruct,tom_12dim_freeresponse,-0.10012332950990777,0.3828375264682584,Qwen,Qwen small,0.42984257357973993,2024-06-06,6.965229434371413
openai-api/local/qwen/qwen-1.5-72b-chat,tom_12dim_freeresponse,0.772145201736215,0.46237689219602796,Qwen,Qwen large,0.09308692676249145,2024-02-04,7.19195867045837
openai-api/local/qwen/qwen1.5-14b-chat,tom_12dim_freeresponse,0.05063916266896291,0.3939817499731617,Qwen,Qwen mid,0.09308692676249145,2024-02-04,7.004417211366473
openai-api/local/qwen/qwen1.5-7b-chat,tom_12dim_freeresponse,-0.5096443527651189,0.35776057607374534,Qwen,Qwen small,0.09308692676249145,2024-02-04,6.858782410962743
openai-api/local/meta-llama/llama-3.1-8b-instruct,tom_12dim_freeresponse,-0.5096443527651187,0.35776057607374545,Llama,Llama small,0.5585215605749486,2024-07-23,6.858782410962743
openai-api/local/meta-llama/llama-3-70b-instruct,tom_12dim_freeresponse,1.2532237968932607,0.5223063205701394,Llama,Llama large,0.29568788501026694,2024-04-18,7.317005692643064
openai-api/local/meta-llama/llama-3-8b-instruct,tom_12dim_freeresponse,0.0506391626689632,0.3939817499731621,Llama,Llama small,0.29568788501026694,2024-04-18,7.004417211366473
anthropic/claude-sonnet-5,tom_12dim_freeresponse,2.9153230867386135,0.8245790125905743,Claude,Claude Sonnet,2.4777549623545516,2026-06-24,7.749036069514447
anthropic/claude-fable-5,tom_12dim_freeresponse,3.713495567777719,0.949821393395239,Claude,Claude Fable,2.4777549623545516,2026-06-24,7.956505478772047
anthropic/claude-opus-4-8,tom_12dim_freeresponse,2.915323086738615,0.8245790125905749,Claude,Claude Opus,2.521560574948665,2026-07-10,7.749036069514447
anthropic/claude-opus-4-7,tom_12dim_freeresponse,2.9153230867386135,0.8245790125905743,Claude,Claude Opus,2.3874058863791925,2026-05-22,7.749036069514447
anthropic/claude-sonnet-4-6,tom_12dim_freeresponse,2.915323086738615,0.8245790125905749,Claude,Claude Sonnet,2.0369609856262834,2026-01-14,7.749036069514447
anthropic/claude-opus-4-6,tom_12dim_freeresponse,2.915323086738615,0.8245790125905749,Claude,Claude Opus,2.1711156741957565,2026-03-04,7.749036069514447
anthropic/claude-opus-4-5-20251101,tom_12dim_freeresponse,1.8987669535079716,0.6222641396246743,Claude,Claude Opus,1.834360027378508,2025-11-01,7.484802078179661
anthropic/claude-haiku-4-5-20251001,tom_12dim_freeresponse,0.7721452017362166,0.4623768921960287,Claude,Claude Haiku,1.749486652977413,2025-10-01,7.191958670458371
anthropic/claude-sonnet-4-5-20250929,tom_12dim_freeresponse,2.915323086738615,0.8245790125905749,Claude,Claude Sonnet,1.7440109514031483,2025-09-29,7.749036069514447
